Absorbance:209, 
729.014, 0
729.418, 0
729.821, 0
730.224, 0
730.627, 0
731.03, 0
731.433, 0
731.836, 0.01
732.239, 0
732.641, 0
733.044, 0
733.447, 0
733.849, 0
734.252, 0
734.654, 0
735.057, 0
735.459, 0
735.862, 0.01
736.264, 0
736.666, 0
737.068, 0
737.47, 0
737.872, 0
738.274, 0
738.676, 0
739.078, 0
739.48, 0.01
739.882, 0.01
740.284, 0
740.685, 0
741.087, 0
741.488, 0
741.89, 0
742.291, 0
742.693, 0
743.094, 0
743.495, 0
743.897, 0
744.298, 0
744.699, 0
745.1, 0
745.501, 0
745.902, 0
746.303, 0
746.704, 0
747.105, 0
747.505, 0.01
747.906, 0
748.307, 0
748.707, 0
749.108, 0
749.508, 0
749.908, 0
750.309, 0
750.709, 0
751.109, 0.01
751.51, 0
751.91, 0
752.31, 0
752.71, 0
753.11, 0
753.51, 0
753.909, 0
754.309, 0
754.709, 0
755.109, 0
755.508, 0
755.908, 0
756.307, 0
756.707, 0
757.106, 0
757.505, 0
757.905, 0.01
758.304, 0
758.703, 0
759.102, 0
759.501, 0
759.9, 0
760.299, 0
760.698, 0.01
761.097, 0
761.496, 0
761.895, 0
762.293, 0
762.692, 0
763.09, 0
763.489, 0
763.887, 0
764.286, 0
764.684, 0.01
765.082, 0
765.481, 0.01
765.879, 0
766.277, 0
766.675, 0
767.073, 0.01
767.471, 0.01
767.869, 0.01
768.267, 0
768.664, 0
769.062, 0
769.46, 0
769.857, 0
770.255, 0.01
770.653, 0.01
771.05, 0.01
771.447, 0.01
771.845, 0
772.242, 0.01
772.639, 0
773.036, 0
773.433, 0
773.831, 0
774.228, 0.01
774.624, 0
775.021, 0.01
775.418, 0.01
775.815, 0
776.212, 0.01
776.608, 0
777.005, 0
777.401, 0.01
777.798, 0.01
778.194, 0.01
778.591, 0
778.987, 0
779.383, 0
779.78, 0.01
780.176, 0
780.572, 0.01
780.968, 0.01
781.364, 0.01
781.76, 0
782.156, 0.01
782.551, 0.01
782.947, 0.01
783.343, 0
783.739, 0
784.134, 0.01
784.53, 0.01
784.925, 0
785.321, 0
785.716, 0.01
786.111, 0.01
786.507, 0.01
786.902, 0.01
787.297, 0
787.692, 0
788.087, 0
788.482, 0.01
788.877, 0.01
789.272, 0
789.667, 0.01
790.061, 0
790.456, 0
790.851, 0.01
791.245, 0
791.64, 0.01
792.034, 0
792.429, 0.01
792.823, 0.01
793.217, 0.01
793.612, 0.01
794.006, 0
794.4, 0.01
794.794, 0
795.188, 0.01
795.582, 0.01
795.976, 0
796.37, 0
796.763, 0.01
797.157, 0
