lambda, intensity
761.895, 20278.55
762.293, 20248.12
762.692, 20217.69
763.09, 20355.79
763.489, 20273.87
763.887, 20032.79
764.286, 19836.19
764.684, 19234.67
765.082, 19033.38
765.481, 18668.26
765.879, 18796.99
766.277, 18534.85
766.675, 18541.87
767.073, 18141.64
767.471, 17809.28
767.869, 18108.87
768.267, 17767.15
768.664, 18008.23
769.062, 18062.06
769.46, 18228.24
769.857, 17554.16
770.255, 17448.84
770.653, 17151.59
771.05, 17072.01
771.447, 17191.38
771.845, 17008.82
772.242, 16821.58
772.639, 16933.92
773.036, 16655.4
773.433, 16875.41
773.831, 16264.53
774.228, 16844.98
774.624, 16362.83
775.021, 15993.03
775.418, 16056.22
775.815, 16369.85
776.212, 16140.48
776.608, 16348.79
777.005, 15817.49
777.401, 16021.11
777.798, 15826.85
778.194, 15787.06
778.591, 15691.1
778.987, 15953.24
779.383, 15265.12
779.78, 15307.25
780.176, 15765.99
780.572, 15384.49
780.968, 15333
781.364, 15222.99
781.76, 14710.41
782.156, 14808.72
782.551, 14492.74
782.947, 14574.66
783.343, 14658.92
783.739, 14422.53
784.134, 14761.91
784.53, 14855.53
784.925, 14668.28
785.321, 14452.95
785.716, 14553.6
786.111, 14312.52
786.507, 14298.48
786.902, 14420.19
787.297, 14246.99
787.692, 14277.41
788.087, 14251.67
788.482, 14216.56
788.877, 14113.58
789.272, 13774.2
789.667, 14270.39
790.061, 13767.18
790.456, 13664.19
790.851, 13748.45
791.245, 13945.06
791.64, 13781.22
792.034, 13476.95
792.429, 13275.66
792.823, 13402.05
793.217, 13196.09
793.612, 13104.81
794.006, 13177.36
794.4, 12749.04
794.794, 12606.27
795.188, 12994.8
795.582, 12397.96
795.976, 12428.39
796.37, 12496.27
796.763, 12419.03
797.157, 12299.66
797.551, 12376.9
797.944, 12184.98
798.338, 12407.33
798.731, 12765.43
799.125, 12379.24
799.518, 12519.67
799.912, 12184.98
800.305, 12096.03
800.698, 12128.8
801.091, 12348.81
801.484, 12320.73
801.877, 12419.03
802.27, 12472.86
802.663, 12362.86
803.056, 12309.02
803.449, 11869
803.842, 11974.33
804.235, 11562.39
804.627, 11810.49
805.02, 11995.39
805.412, 11611.54
805.805, 11663.04
