lambda, I
815.989, 336.01
816.38, 289.2
816.771, 340.69
817.162, 359.42
817.553, 300.91
817.944, 321.97
818.334, 312.61
818.725, 399.21
819.115, 291.54
819.506, 293.88
819.896, 296.22
820.287, 333.67
820.677, 408.57
821.067, 336.01
821.457, 305.59
821.848, 380.48
822.238, 319.63
822.628, 375.8
823.018, 307.93
823.408, 338.35
823.797, 343.03
824.187, 336.01
824.577, 340.69
824.967, 359.42
825.356, 312.61
825.746, 328.99
826.135, 368.78
826.525, 371.12
826.914, 352.4
827.304, 328.99
827.693, 298.56
828.082, 371.12
828.471, 333.67
828.86, 375.8
829.249, 228.35
829.638, 364.1
830.027, 380.48
830.416, 371.12
830.805, 406.23
831.194, 385.16
831.582, 326.65
831.971, 305.59
832.36, 413.25
832.748, 324.31
833.137, 439
833.525, 368.78
833.914, 357.08
834.302, 354.74
834.69, 305.59
835.078, 303.25
835.466, 328.99
835.854, 336.01
836.243, 289.2
836.63, 314.95
