lambda, Intensity
776.608, 577.82
777.005, 552.07
777.401, 650.38
777.798, 505.26
778.194, 521.65
778.591, 512.28
778.987, 549.73
779.383, 552.07
779.78, 615.27
780.176, 549.73
780.572, 516.97
780.968, 516.97
781.364, 512.28
781.76, 507.6
782.156, 554.41
782.551, 519.31
782.947, 547.39
783.343, 535.69
783.739, 552.07
784.134, 519.31
784.53, 580.16
784.925, 514.63
785.321, 552.07
785.716, 549.73
786.111, 505.26
786.507, 498.24
786.902, 451.43
787.297, 465.47
787.692, 507.6
788.087, 507.6
788.482, 491.22
788.877, 500.58
789.272, 568.46
789.667, 505.26
790.061, 463.13
790.456, 528.67
790.851, 519.31
791.245, 418.66
791.64, 395.26
792.034, 435.05
792.429, 486.54
792.823, 481.86
793.217, 512.28
793.612, 453.77
794.006, 430.37
794.4, 442.07
794.794, 528.67
795.188, 493.56
795.582, 477.18
795.976, 479.52
796.37, 416.32
796.763, 388.24
797.157, 474.84
797.551, 432.71
797.944, 533.35
798.338, 477.18
798.731, 444.41
799.125, 428.03
799.518, 458.45
799.912, 465.47
800.305, 413.98
800.698, 416.32
801.091, 488.88
801.484, 423.34
801.877, 353.13
802.27, 430.37
802.663, 486.54
803.056, 458.45
803.449, 425.68
803.842, 442.07
804.235, 446.75
804.627, 395.26
805.02, 474.84
805.412, 383.56
805.805, 383.56
806.197, 488.88
806.59, 449.09
806.982, 423.34
807.374, 404.62
807.766, 423.34
808.159, 406.96
808.551, 428.03
808.943, 392.92
809.335, 430.37
809.727, 383.56
810.118, 463.13
810.51, 446.75
810.902, 343.77
811.294, 409.3
811.685, 432.71
812.077, 439.73
812.468, 418.66
812.86, 385.9
813.251, 479.52
813.643, 402.28
814.034, 442.07
814.425, 390.58
814.816, 392.92
815.207, 406.96
815.598, 409.3
815.989, 332.06
816.38, 399.94
816.771, 395.26
817.162, 439.73
