FLMS05507_1:101, 
645.624, 30692.76
646.038, 30208.27
646.453, 29857.19
646.867, 29431.21
647.281, 28932.68
647.695, 28759.48
648.109, 28181.37
648.523, 28450.53
648.936, 27741.35
649.35, 27706.24
649.764, 27629
650.178, 28164.98
650.591, 28153.28
651.005, 27860.71
651.418, 28033.91
651.832, 27710.92
652.245, 27584.53
652.659, 27898.16
653.072, 27778.79
653.485, 28047.96
653.898, 27886.46
654.312, 27533.04
654.725, 27437.08
655.138, 26723.21
655.551, 26037.44
655.964, 24600.35
656.377, 23804.56
656.789, 23514.34
657.202, 24143.94
657.615, 24995.9
658.028, 25218.25
658.44, 25859.56
658.853, 26107.65
659.265, 26234.04
659.678, 26421.28
660.09, 26538.31
660.503, 26657.68
660.915, 26369.79
661.327, 26241.06
661.739, 26418.94
662.152, 26397.88
662.564, 26999.4
662.976, 26449.37
663.388, 26229.36
663.8, 25925.09
664.211, 25901.68
664.623, 25686.36
665.035, 25459.32
665.447, 25676.99
665.858, 25370.38
666.27, 25588.05
666.682, 25232.29
667.093, 25150.37
667.505, 24590.98
667.916, 24605.03
668.327, 24658.86
668.739, 24588.64
669.15, 24775.89
669.561, 24370.97
669.972, 24349.91
670.383, 23734.35
670.794, 24097.13
671.205, 23315.39
671.616, 23577.53
672.027, 23551.79
672.438, 22959.63
672.849, 22990.06
673.259, 22692.81
673.67, 22866.01
674.08, 22723.24
674.491, 22678.77
674.901, 22245.77
675.312, 22114.7
675.722, 22280.88
676.133, 22271.51
676.543, 22187.25
676.953, 21714.47
677.363, 21943.84
677.773, 21698.08
678.183, 21552.97
678.593, 21164.44
679.003, 21213.59
679.413, 21038.05
679.823, 20874.21
680.233, 20839.11
680.643, 20626.12
681.052, 20476.32
681.462, 20469.3
681.872, 20359.3
682.281, 20382.7
682.691, 20160.35
683.1, 20174.39
683.509, 19753.1
683.919, 19783.52
684.328, 19439.47
684.737, 19238.18
685.146, 19179.67
685.555, 19020.51
685.964, 18639
686.373, 17286.17
686.782, 16160.38
687.191, 15102.45
687.6, 14381.57
688.009, 14587.54
688.417, 14674.13
688.826, 14402.63
689.235, 14758.39
689.643, 15207.78
690.052, 15296.72
690.46, 15708.65
690.869, 15783.55
691.277, 16031.65
691.685, 15984.83
692.093, 16300.81
692.502, 16417.83
692.91, 16001.22
693.318, 15802.27
693.726, 15732.06
694.134, 15586.94
694.542, 15706.31
694.949, 15535.45
695.357, 15856.11
695.765, 16289.1
696.173, 16474.01
696.58, 16965.52
696.988, 16921.05
697.395, 16984.24
697.803, 16946.8
698.21, 17246.38
698.618, 16892.96
699.025, 16504.43
699.432, 16420.17
699.839, 16279.74
700.247, 16410.81
700.654, 16354.64
701.061, 16043.35
701.468, 16015.26
701.875, 16048.03
702.281, 16230.59
702.688, 16389.75
703.095, 16277.4
703.502, 16441.24
703.908, 16621.46
704.315, 16712.74
704.722, 16628.48
705.128, 16895.3
705.534, 16663.59
705.941, 16822.75
706.347, 16804.02
706.753, 17005.31
